Column1;user_id;status_id;created_at;is_retweet;is_quote;is_reply;lang;text;created_at_int;hora;dia
235358;user3500;tweet249291;2019-11-03 23:03:00;FALSO;FALSO;FALSO;es;"Fue la peor decisión del mundo hacerle caso a mi mamá y tomarme la pastilla sin comer pa ""dejar guata pal almuerzo"". ??";201911030;23;1
235360;user3500;tweet249313;2019-11-03 23:07:00;FALSO;FALSO;FALSO;es;"""Green Day se presentará en vivo!""
"".....en un video del show de ayer!""";201911030;23;1
235437;user3519;tweet246379;2019-11-03 13:32:00;FALSO;FALSO;FALSO;es;Llegamos a la estación de #Curicó y vemos un carro quemándose. Pasa un señor y nos dice que lleva dos días prendido. A nadie le importa el patrimonio ferroviario @Trencentral @GrupoEFE @Pedro_Errazuriz https://t.co/QWBkcrmD1q;201911030;13;1
235461;user7407;tweet244632;2019-11-03 01:57:00;FALSO;FALSO;FALSO;es;Fuerza ROBERTO, estamos contigo!! ???? #JusticiaParaRoberto;201911030;1;1
235575;user3538;tweet244307;2019-11-03 01:09:00;FALSO;FALSO;FALSO;es;Alguna me podría iluminar con que va a hacer Lu para los 40?? ????;201911030;1;1
235576;user3538;tweet244300;2019-11-03 01:08:00;FALSO;FALSO;FALSO;es;Mi bff aun no vuelve a wsp y le tengo unos sticker que madre mía! Va a flipar en colores!;201911030;1;1
235584;user3541;tweet247499;2019-11-03 16:41:00;FALSO;FALSO;FALSO;es;"A guardar susto?????? ????????

José Piñera escribió apocalíptica carta si la izquierda se instala en Chile via @@ilustradonot https://t.co/fAkdPXO4Dv";201911030;16;1
235689;user3551;tweet244186;2019-11-03 00:51:00;FALSO;FALSO;FALSO;es;No me da lastima: Está ardiendo la sede de la UDI en Cañete . https://t.co/jmCFkqBznL;201911030;0;1
235721;user3555;tweet248308;2019-11-03 19:41:00;FALSO;FALSO;FALSO;es;Y cuándo una marcha en Vitacura?;201911030;19;1
235731;user3557;tweet244032;2019-11-03 00:30:00;FALSO;FALSO;FALSO;es;. @PamJiles @FELIX_GonzalezG @ifloresdiputado Acusación Constitucional contra Sebastián Piñera - ĦFirma la petición! https://t.co/z5dSzPrEeM vía @ChangeorgLatino;201911030;0;1
235853;user3569;tweet248123;2019-11-03 18:56:00;FALSO;FALSO;FALSO;es;Sres @inddhh cual es la definición  de violación sistemática de los derechos humanos? Espero realmente que respondan;201911030;18;1
235854;user7421;tweet249529;2019-11-03 23:41:00;FALSO;FALSO;FALSO;es;@veronicadela4t Foxilandia;201911030;23;1
235928;user3575;tweet245077;2019-11-03 03:19:00;FALSO;FALSO;FALSO;es;Esperando el triunfo de Canelo #CombateSPACE https://t.co/ePE4tFbotE;201911030;3;1
235930;user3576;tweet244214;2019-11-03 00:53:00;FALSO;FALSO;FALSO;es;Acaba de publicar una foto https://t.co/W4OzsvjuO7;201911030;0;1
235933;user3576;tweet244226;2019-11-03 00:56:00;FALSO;FALSO;FALSO;es;Por todos los caídos, asesinados por el estado, por ellos y por nosotros como sociedad #EstoNoHaTeeminado https://t.co/JWbGDaasVR;201911030;0;1
235934;user3576;tweet244211;2019-11-03 00:53:00;FALSO;FALSO;FALSO;es;Acaba de publicar una foto https://t.co/eY2TuA8Jgv;201911030;0;1
235963;user7426;tweet248438;2019-11-03 20:08:00;FALSO;FALSO;FALSO;es;"Por deudas tuve que vender mi play y ahora no tengo donde jugar Death Stranding ?? 
PIÑERA CULIAO";201911030;20;1
